rsi_peak,rsi_entry,rsi_exit,lookback,stop_loss,max_hold,max_entries,total_trades,win_rate,avg_return,total_return,long_trades,long_win_rate,long_total,short_trades,short_win_rate,short_total,stop_loss_count,expired_count
78,65,45,24,-15,42,4,44,90.9090909090909,3.6786086821825505,161.85878201603222,23,95.65217391304348,123.34900936280977,21,85.71428571428571,38.509772653222434,1,10
78,65,45,24,-15,42,5,44,90.9090909090909,3.6786086821825505,161.85878201603222,23,95.65217391304348,123.34900936280977,21,85.71428571428571,38.509772653222434,1,10
78,65,45,24,-20,42,4,44,90.9090909090909,3.6786086821825505,161.85878201603222,23,95.65217391304348,123.34900936280977,21,85.71428571428571,38.509772653222434,1,10
78,65,45,24,-20,42,5,44,90.9090909090909,3.6786086821825505,161.85878201603222,23,95.65217391304348,123.34900936280977,21,85.71428571428571,38.509772653222434,1,10
78,65,45,24,-10,42,5,44,90.9090909090909,3.6748124627440912,161.69174836074,23,95.65217391304348,124.92128170403439,21,85.71428571428571,36.77046665670558,2,10
78,65,45,24,-10,42,4,44,90.9090909090909,3.6499681860916056,160.59860018803064,23,95.65217391304348,124.92128170403439,21,85.71428571428571,35.67731848399624,2,10
78,65,45,24,-15,42,3,44,90.9090909090909,3.627959132679824,159.63020183791227,23,95.65217391304348,123.34900936280977,21,85.71428571428571,36.28119247510249,1,10
78,65,45,24,-20,42,3,44,90.9090909090909,3.627959132679824,159.63020183791227,23,95.65217391304348,123.34900936280977,21,85.71428571428571,36.28119247510249,1,10
78,65,45,24,-10,42,3,44,90.9090909090909,3.6049261502485646,158.61675061093683,23,95.65217391304348,124.92128170403439,21,85.71428571428571,33.69546890690242,2,10
78,65,45,24,-10,42,2,44,86.36363636363636,3.5475906495082388,156.0939885783625,23,95.65217391304348,124.92128170403439,21,76.19047619047619,31.172706874328114,2,10
78,65,45,24,-15,42,2,44,86.36363636363636,3.5310750779040556,155.36730342777844,23,95.65217391304348,123.34900936280977,21,76.19047619047619,32.01829406496864,1,10
78,65,45,24,-20,42,2,44,86.36363636363636,3.5310750779040556,155.36730342777844,23,95.65217391304348,123.34900936280977,21,76.19047619047619,32.01829406496864,1,10
82,65,45,24,-15,42,4,37,89.1891891891892,4.102760983473992,151.8021563885377,23,95.65217391304348,122.2731094307008,14,78.57142857142857,29.529046957836904,1,7
82,65,45,24,-15,42,5,37,89.1891891891892,4.102760983473992,151.8021563885377,23,95.65217391304348,122.2731094307008,14,78.57142857142857,29.529046957836904,1,7
82,65,45,24,-20,42,4,37,89.1891891891892,4.102760983473992,151.8021563885377,23,95.65217391304348,122.2731094307008,14,78.57142857142857,29.529046957836904,1,7
82,65,45,24,-20,42,5,37,89.1891891891892,4.102760983473992,151.8021563885377,23,95.65217391304348,122.2731094307008,14,78.57142857142857,29.529046957836904,1,7
78,65,35,42,-15,90,5,45,93.33333333333333,3.3714945849224893,151.71725632151202,25,96.0,127.54445362726582,20,90.0,24.172802694246183,1,2
78,65,35,42,-20,90,5,45,93.33333333333333,3.3714945849224893,151.71725632151202,25,96.0,127.54445362726582,20,90.0,24.172802694246183,1,2
78,65,35,42,-15,90,3,45,93.33333333333333,3.3710177940616606,151.69580073277473,25,96.0,128.8073475979281,20,90.0,22.8884531348466,1,2
78,65,35,42,-20,90,3,45,93.33333333333333,3.3710177940616606,151.69580073277473,25,96.0,128.8073475979281,20,90.0,22.8884531348466,1,2
75,65,35,42,-15,90,5,45,93.33333333333333,3.370589248744885,151.67651619351983,25,96.0,127.54445362726582,20,90.0,24.132062566253982,1,2
75,65,35,42,-20,90,5,45,93.33333333333333,3.370589248744885,151.67651619351983,25,96.0,127.54445362726582,20,90.0,24.132062566253982,1,2
75,65,35,42,-15,90,3,45,93.33333333333333,3.3701124578840562,151.65506060478253,25,96.0,128.8073475979281,20,90.0,22.8477130068544,1,2
75,65,35,42,-20,90,3,45,93.33333333333333,3.3701124578840562,151.65506060478253,25,96.0,128.8073475979281,20,90.0,22.8477130068544,1,2
82,65,45,24,-10,42,4,38,89.47368421052632,3.9873936996050796,151.52096058499302,23,95.65217391304348,123.84538177192542,15,80.0,27.675578813067617,2,7
82,65,45,24,-10,42,5,38,89.47368421052632,3.9873936996050796,151.52096058499302,23,95.65217391304348,123.84538177192542,15,80.0,27.675578813067617,2,7
82,65,45,24,-15,42,3,37,89.1891891891892,4.093471850768053,151.45845847841798,23,95.65217391304348,122.2731094307008,14,78.57142857142857,29.185349047717175,1,7
82,65,45,24,-20,42,3,37,89.1891891891892,4.093471850768053,151.45845847841798,23,95.65217391304348,122.2731094307008,14,78.57142857142857,29.185349047717175,1,7
82,65,45,24,-10,42,3,38,89.47368421052632,3.978349017759824,151.1772626748733,23,95.65217391304348,123.84538177192542,15,80.0,27.331880902947887,2,7
78,65,35,42,-15,90,4,45,93.33333333333333,3.3510347996772207,150.79656598547493,25,96.0,127.54445362726582,20,90.0,23.25211235820907,1,2
78,65,35,42,-20,90,4,45,93.33333333333333,3.3510347996772207,150.79656598547493,25,96.0,127.54445362726582,20,90.0,23.25211235820907,1,2
75,65,35,42,-15,90,4,45,93.33333333333333,3.3501294634996164,150.75582585748273,25,96.0,127.54445362726582,20,90.0,23.21137223021687,1,2
75,65,35,42,-20,90,4,45,93.33333333333333,3.3501294634996164,150.75582585748273,25,96.0,127.54445362726582,20,90.0,23.21137223021687,1,2
78,65,45,24,-15,42,1,44,86.36363636363636,3.418118194898653,150.39720057554072,23,95.65217391304348,126.18417567469666,21,76.19047619047619,24.213024900843998,2,9
