rsi_buy,rsi_buy_exit,rsi_sell,rsi_sell_exit,long_trades,long_stoploss,long_only_profit,long_only_return,hedge_long_profit,hedge_short_profit,hedge_total_profit,hedge_total_return
30,40,80,50,87,8,5253.880545553503,2.1099921869692784,5253.880545553503,-1807.9636004127005,3445.9169451408025,0.9831432083140664
30,50,75,55,109,8,3634.214553658958,1.6296926249591739,3634.214553658958,-824.6689143624498,2809.545639296508,0.9772332658422636
30,35,80,50,93,10,5345.985976082018,1.8371085828460543,5345.985976082018,-1187.1426243979251,4158.843351684093,0.9762543079070641
40,50,75,60,136,10,4390.3626453809975,1.1143052399444155,4390.3626453809975,168.15197879967764,4558.514624180675,0.8724429902738134
30,35,75,55,108,9,5799.103828682622,1.920233055855173,5799.103828682622,-2226.0031821381594,3573.100646544463,0.8348365996599213
30,40,75,60,105,7,3895.6229055278236,1.5217276974718061,3895.6229055278236,-1354.1735302613629,2541.4493752664607,0.7250925464383625
40,50,75,50,122,11,3409.113741949888,0.8652572949111391,3409.113741949888,273.5023609702422,3682.6161029201303,0.6889833681796315
40,45,75,55,129,10,4694.605854423507,1.013953748255617,4694.605854423507,-381.8589853583567,4312.746869065149,0.6759791330823118
40,45,75,50,125,10,4196.48678759407,0.881614871343292,4196.48678759407,236.83886072005032,4433.32564831412,0.6696866538238853
30,35,75,50,111,9,5495.552478446706,1.819719363724075,5495.552478446706,-2760.5053310437015,2735.0471474030046,0.6427842884613406
30,45,75,60,110,7,2391.487703380946,0.9923185491207246,2391.487703380946,-356.08166523867703,2035.4060381422692,0.6272437713843665
30,35,75,60,114,9,3420.4157312554626,1.1325879904819414,3420.4157312554626,-1692.8313561599111,1727.5843750955514,0.41084051726410264
40,45,75,60,136,10,2236.418624040223,0.4830277805702426,2236.418624040223,-131.07646011307224,2105.342163927151,0.33286042117425313
